"Benchmark","Mode","Threads","Samples","Score","Score Error (90.0%)","Relative Score Error (90.0%)","Score Error (95.0%)","Relative Score Error (95.0%)","Score Error (99.9%)","Relative Score Error (99.9%)","Median Score","Median Absolute Deviation","Relative Median Absolute Deviation","Unit","Param: dataType","Param: multimapValueSize","Param: producer","Param: run","Param: sampleDataSelection","Param: size","Param: stepSizeOneToOneSelector","Param: valueFactoryFactory"
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,20.548516,0.567547,0.027620,0.700383,0.034084,1.480211,0.072035,20.065703,0.584015,0.029105,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,256,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,24.832128,0.111197,0.004478,0.137223,0.005526,0.290012,0.011679,24.801864,0.057345,0.002312,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,256,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,21.391245,0.315576,0.014753,0.389437,0.018205,0.823049,0.038476,21.116366,0.072213,0.003420,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,512,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,27.143703,0.179167,0.006601,0.221102,0.008146,0.467283,0.017215,27.078073,0.136164,0.005029,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,512,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,25.675190,0.124656,0.004855,0.153832,0.005991,0.325114,0.012663,25.623928,0.042001,0.001639,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1024,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,33.115872,0.169313,0.005113,0.208941,0.006309,0.441582,0.013334,33.081949,0.163211,0.004934,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1024,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,24.361916,0.326733,0.013412,0.403205,0.016551,0.852147,0.034979,24.159202,0.397273,0.016444,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2048,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,31.051745,0.493756,0.015901,0.609321,0.019623,1.287757,0.041471,30.511812,0.194613,0.006378,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2048,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,25.427333,0.282578,0.011113,0.348716,0.013714,0.736987,0.028984,25.652921,0.221553,0.008637,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4096,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,33.589316,0.166689,0.004963,0.205703,0.006124,0.434739,0.012943,33.483971,0.045036,0.001345,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4096,1,VF_CHAMP_MULTIMAP_HHAMT
