elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
1,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,80,3,4
1,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,80,3,4
1,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,80,3,4
1,4,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,72,3,5
1,4,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,144,5,15
2,0,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,104,4,8
2,0,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,104,4,8
2,0,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,104,4,8
2,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,88,3,6
2,0,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,184,7,13
2,0,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,160,6,12
2,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,168,6,11
2,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,144,5,10
2,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,112,4,8
2,0,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,248,10,16
2,0,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,304,10,31
2,1,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,104,4,8
2,1,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,104,4,8
2,1,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,104,4,8
2,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,88,3,6
2,1,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,184,7,13
2,1,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,160,6,12
2,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,168,6,11
2,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,144,5,10
2,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,112,4,8
